Epoch,Train Loss,Train Acc,Test Loss,Test Acc,F1 Score
1,0.0013259939319143692,0.94645,0.001029391344729811,0.9556,0.9558785093079967
2,0.000975919635904332,0.9604,0.0007670388735365123,0.9690000000000001,0.9692020272348724
3,0.0008188141178960602,0.9681333333333334,0.0007164144598529674,0.9695,0.9696483309674658
4,0.0005727663416105012,0.9771500000000001,0.0004997372652753257,0.9785,0.9784442842659397
5,0.0005438329479657113,0.9781333333333334,0.00042629550863057373,0.9816,0.9815997554963118
6,0.0005110698077905303,0.9797833333333333,0.00040829085994046184,0.9836,0.9835940272671055
7,0.0004758294438244775,0.9812666666666667,0.00040642776822205634,0.9831000000000001,0.983089735246284
8,0.00045788272292508433,0.9812833333333334,0.00040045885211438873,0.9834,0.9833853818337509
9,0.0003868610227596946,0.9842166666666667,0.0004309114054252859,0.9814,0.9813958557300629
10,0.00038468425810569897,0.9843666666666667,0.00034252975706476716,0.9854,0.9854001704176062
11,0.00036214782445458696,0.98475,0.00037479803116293624,0.9834,0.9834033174613319
12,0.0003597085805551615,0.9853833333333334,0.0003543027803330915,0.9847,0.9846983066019152
13,0.00034665318860982854,0.9861333333333334,0.0003453938870632555,0.9856,0.9855981422239162
14,0.0003182401666068472,0.9867,0.0003090157027269015,0.9859,0.9858925965873719
15,0.00031374963542524106,0.9874,0.00030662256285140756,0.9862000000000001,0.9861951410453419
16,0.00030600373117874066,0.9872000000000001,0.00034185449459182566,0.9852000000000001,0.9851954527288234
17,0.00030910160173856034,0.9873166666666667,0.0003163140068674693,0.9860000000000001,0.9859972600650574
18,0.00030528464364858036,0.9874,0.0003007379973278148,0.9861000000000001,0.986097524778763
19,0.00028171264089178294,0.9882333333333334,0.00029332104041532146,0.9870000000000001,0.9869948492308882
20,0.0002823469876971406,0.98875,0.0002843435671326006,0.9879,0.9878958192322336
21,0.0002826912344142329,0.9884166666666667,0.00027545488278265113,0.9875,0.987494849237283
22,0.0002716983350808732,0.9887166666666667,0.00029486813510447974,0.9870000000000001,0.9869991042445602
23,0.0002752154030177432,0.9884333333333334,0.00027314053121517645,0.9876,0.9876022588745583
24,0.0002705743844116417,0.9885666666666667,0.0002931775246281177,0.9875,0.987499451858893
25,0.0002590303545817733,0.9892333333333334,0.00028377579086081824,0.9876,0.9875977869734474
26,0.0002610705013600333,0.9892833333333334,0.00029561563699971886,0.9870000000000001,0.9869924458311159
27,0.0002608533163671382,0.9891166666666668,0.0002812786520458758,0.9877,0.987702249240492
28,0.0002704856280121021,0.9891666666666667,0.00029709939078311436,0.9871000000000001,0.9871023161144491
29,0.0002558891163770265,0.9892333333333334,0.0002859763440254028,0.9873000000000001,0.9873027263405288
30,0.0002534626441037593,0.9893833333333334,0.00027626911875995575,0.9877,0.9877012573367869
