top1,top5,coverage,size,num_calib
0.8717171715630425,0.98989898989899,0.9494949494949495,1.9528282828282828,100
0.871414141475793,0.9895959595959596,0.9412121212121212,1.8725252525252525,100
0.8712121211812954,0.9896969696969697,0.9696969696969697,2.434848484848485,100
0.8714141412600122,0.9897979797363282,0.9626262626262626,2.1712121212121214,100
0.8715151515768031,0.9899999999691742,0.9692929292929293,2.304040404040404,100
0.8719191917958885,0.9896969696969697,0.9548484848484848,2.045252525252525,100
0.8715151513610223,0.9896969696661438,0.9671717171717171,2.316060606060606,100
0.8716161617086391,0.9895959595959596,0.9470707070707071,1.9386868686868688,100
0.8712121210888178,0.9896969696969697,0.9835353535353535,2.8964646464646466,100
0.8716161614312066,0.989797979767154,0.9701010101010101,2.369090909090909,100
0.8706315789794922,0.9898947368421053,0.9528421052631579,1.9903157894736843,500
0.8707368420731394,0.99,0.9531578947368421,2.014315789473684,500
0.8710526316431948,0.9896842105263158,0.9498947368421052,1.9816842105263157,500
0.8715789474005448,0.989578947368421,0.9469473684210526,1.9254736842105262,500
0.8712631579268606,0.9894736842105263,0.9372631578947368,1.8583157894736841,500
0.8707368421373869,0.9891578947368421,0.9431578947368421,1.916,500
0.8698947369063528,0.9896842105263158,0.9533684210526315,2.0558947368421054,500
0.8719999998715049,0.9895789474326685,0.9395789473684211,1.8827368421052633,500
0.8719999999678762,0.9894736842105263,0.9403157894736842,1.8766315789473684,500
0.8718947367778578,0.9896842105263158,0.9448421052631579,1.8930526315789473,500
0.8714444444444445,0.9906666666666667,0.9571111111111111,2.0674444444444444,1000
0.8715555555555555,0.9895555555555555,0.9427777777777778,1.929888888888889,1000
0.8704444444444445,0.989,0.949,1.9996666666666667,1000
0.8706666666666667,0.9895555555555555,0.953,2.0166666666666666,1000
0.8722222222222222,0.9893333333333333,0.9465555555555556,1.983,1000
0.8718888888888889,0.9901111111111112,0.9547777777777777,2.0677777777777777,1000
0.8722222222222222,0.9895555555555555,0.9512222222222222,1.9676666666666667,1000
0.8727777777777778,0.9898888888888889,0.96,2.116,1000
0.8722222222222222,0.99,0.9527777777777777,2.0356666666666667,1000
0.8717777777777778,0.9898888888888889,0.9585555555555556,2.107222222222222,1000
0.870470588127585,0.9894117647058823,0.941764705882353,1.916235294117647,1500
0.8725882353659238,0.9894117647058823,0.9467058823529412,1.9174117647058824,1500
0.872705882245232,0.9891764703728171,0.9468235294117647,1.9683529411764706,1500
0.8725882352582146,0.9903529409610524,0.9482352941176471,1.9612941176470589,1500
0.8707058824247473,0.989764705882353,0.9532941176470588,2.057529411764706,1500
0.8703529410328585,0.9896470588235294,0.947764705882353,1.9243529411764706,1500
0.8704705879121668,0.9901176470588235,0.9488235294117647,1.9525882352941177,1500
0.871176470301011,0.989764705882353,0.9490588235294117,1.966235294117647,1500
0.8707058822093291,0.9890588235294118,0.9435294117647058,1.932235294117647,1500
0.8714117647776884,0.9891764705882353,0.9523529411764706,2.0189411764705882,1500
0.87375,0.98925,0.946375,1.948,2000
0.874375,0.989,0.9455,1.944,2000
0.87025,0.98975,0.946875,1.970125,2000
0.872375,0.990375,0.94725,1.985625,2000
0.871625,0.988875,0.947625,1.949125,2000
0.87175,0.990125,0.940125,1.905375,2000
0.87275,0.990125,0.957,2.079,2000
0.8705,0.98975,0.957125,2.098,2000
0.87425,0.990125,0.953125,2.026875,2000
0.87125,0.990125,0.946,1.928875,2000
0.8762,0.9902,0.9512,1.9558,5000
0.8708,0.9892,0.952,1.9928,5000
0.8716,0.9904,0.951,1.9952,5000
0.8724,0.99,0.954,2.0012,5000
0.867,0.992,0.9552,2.023,5000
0.8664,0.9884,0.9496,1.9908,5000
0.8678,0.9902,0.9498,2.0128,5000
0.8696,0.9896,0.9518,1.9996,5000
0.8706,0.989,0.9394,1.9246,5000
0.8748,0.991,0.9566,2.0386,5000
0.8714714714714715,0.9896896896896897,0.7792792792792793,1.1353353353353353,10
0.8713713713713713,0.9896896896896897,0.933933933933934,1.7676676676676677,10
0.8715715715562975,0.9896896896591416,0.9304304304304304,1.7916916916916916,10
0.8714714714409234,0.9896896896896897,0.9047047047047047,1.5843843843843843,10
0.8715715715410235,0.9896896896896897,0.9172172172172172,1.6597597597597598,10
0.8714714714714715,0.9896896896896897,0.9817817817817818,2.8006006006006006,10
0.8714714714409234,0.9896896896896897,0.9918918918918919,3.5843843843843843,10
0.8713713713713713,0.9896896896896897,0.9964964964964965,4.599099099099099,10
0.8714714714714715,0.9897897897897898,0.9940940940940941,4.029429429429429,10
0.8715715715562975,0.9896896896896897,0.7228228228228228,1.0235235235235236,10
0.8710552759985228,0.9896482414207266,0.9689447236180905,2.352361809045226,50
0.8710552764279159,0.9896482409146562,0.8845226130653266,1.4842211055276382,50
0.8714572866315219,0.989748743718593,0.937889447236181,1.8694472361809045,50
0.8717587939545138,0.9899497489584151,0.9812060301507538,2.7739698492462312,50
0.8712562813916997,0.989748743718593,0.9410050251256281,1.8862311557788944,50
0.8711557786644404,0.9896482414207266,0.9201005025125628,1.6888442211055277,50
0.8712562810236485,0.9896482412060301,0.9453266331658291,1.900502512562814,50
0.8713567841803008,0.9896482412060301,0.9397989949748744,1.8509547738693468,50
0.8715577891440847,0.9896482409146562,0.942713567839196,1.92643216080402,50
0.8718592962370446,0.9896482409146562,0.9071356783919599,1.598994974874372,50
